"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","NA","NA"
"351","Artemisia tridentata","temperate","AM",0,"angiosperm",6.14570696484486,345.454545454545
"353","Artocarpus heterophyllus","tropical","AM",0,"angiosperm",26.7908332586288,1503.4
"355","Artocarpus lakoocha","tropical","AM",0,"angiosperm",26.3458332353168,1044
"356","Artocarpus nitidus","tropical","AM",0,"angiosperm",23.2458333969116,1357
"357","Artocarpus styracifolius","tropical","AM",0,"angiosperm",22.9395834008853,1551.5
"358","Artocarpus tonkinensis","tropical","AM",0,"angiosperm",23.8208331664403,1670
"359","Ascarina lucida","temperate","AM",0,"angiosperm",10.5708333551884,3335
"360","Asimina triloba","temperate","AM",0,"angiosperm",10.3375001102686,991
"361","Aspidosperma album","tropical","AM",0,"angiosperm",26.0390152208733,3151.27272727273
"362","Aspidosperma blancimpreso","tropical","AM",0,"angiosperm",25.3083333969116,3115
"363","Aspidosperma cruentum","tropical","AM",0,"angiosperm",25.3708333969116,3102.8
"364","Aspidosperma cylindrocarpon","tropical","AM",0,"angiosperm",25.6208333969116,1142
"365","Aspidosperma desmanthum","tropical","AM",0,"angiosperm",25.8166666485014,2552.85714285714
"366","Aspidosperma excelsum","tropical","AM",0,"angiosperm",26.1249999205271,2660
"367","Aspidosperma marcgravianum","tropical","AM",0,"angiosperm",25.9225000143051,2717.4
"368","Aspidosperma megalocarpon","tropical","AM",0,"angiosperm",25.7250000238419,2664
"369","Aspidosperma oblongum","tropical","AM",0,"angiosperm",25.4916667938232,3106
"370","Aspidosperma rigidum","tropical","AM",0,"angiosperm",25.516666730245,1799.66666666667
"371","Aspidosperma spruceanum","tropical","AM",0,"angiosperm",25.4447917540868,3165.75
"372","Aspidosperma subincanum","tropical","AM",0,"angiosperm",22.6291668017705,1428
"373","Aspidosperma tambopatense","tropical","AM",0,"angiosperm",25.2916667461395,2497
"374","Aspidosperma tomentosum","tropical","AM",0,"angiosperm",22.3388258688378,1300.09090909091
"375","Asterogyne martiana","tropical","AM",0,"angiosperm",26.875,1933
"376","Astrocaryum chambira","tropical","AM",0,"angiosperm",25.3083333969116,3115
"378","Astrocaryum murumuru","tropical","AM",0,"angiosperm",25.3083333969116,3115
"379","Astrocaryum sciophilum","tropical","AM",0,"angiosperm",25.4916667938232,3106
"381","Astronium balansae","tropical","AM",0,"angiosperm",21.2124999761581,1399
"382","Astronium fraxinifolium","tropical","AM",0,"angiosperm",25.5041666030884,2251
"383","Astronium graveolens","tropical","AM",0,"angiosperm",25.5784419654072,1821.5652173913
"384","Astronium lecointei","tropical","AM",0,"angiosperm",25.6708334287008,3327
"385","Astrotricha floccosa","temperate","AM",0,"angiosperm",17.8435184337475,1231.77777777778
"386","Atalaya hemiglauca","tropical","AM",0,"angiosperm",27.7166668574015,847
"387","Atherosperma moschatum","temperate","AM",0,"angiosperm",10.7791665941477,1295
"388","Atriplex canescens","temperate","AM",0,"angiosperm",13.0375000238419,250
"389","Atriplex confertifolia","temperate","AM",0,"angiosperm",14.7572915994873,228.5
"390","Atriplex portulacoides","boreal","AM",0,"angiosperm",8.99791665228479,769.772727272727
"392","Aucuba chlorascens","tropical","AM",0,"angiosperm",11.6458334252238,985
"394","Austrocedrus chilensis","temperate","AM",0,"gymnosperm",7.45952381486339,1066.57142857143
"398","Avicennia marina","temperate","AM",0,"angiosperm",19.9513888888889,1322.33333333333
"400","Azadirachta indica","tropical","AM",0,"angiosperm",26.4424999316533,1134.2
"401","Baccaurea ramiflora","tropical","AM",0,"angiosperm",22.5613094738552,1678.14285714286
"402","Bactris corossilla","tropical","AM",0,"angiosperm",25.3083333969116,3115
"403","Bactris cuspidata","tropical","AM",0,"angiosperm",25.3083333969116,3115
"404","Bactris elegans","tropical","AM",0,"angiosperm",25.8416666984558,1880
"405","Bactris gasipaes","tropical","AM",0,"angiosperm",25.7916667461395,1804
"407","Bactris maraja","tropical","AM",0,"angiosperm",25.3083333969116,3115
"409","Bactris simplicifrons","tropical","AM",0,"angiosperm",25.3083333969116,3115
"412","Baeckea frutescens","tropical","ECM",0,"angiosperm",23.0416667064031,1848
"413","Bagassa guianensis","tropical","AM",0,"angiosperm",25.6083334022098,2892.33333333333
"415","Barleria cristata","tropical","AM",0,"angiosperm",22.1708331902822,1289
"416","Barringtonia macrostachya","tropical","AM",0,"angiosperm",22.6500000158946,1656.5
"417","Barringtonia racemosa","tropical","AM",0,"angiosperm",20.7243056760894,1801.5
"418","Batocarpus amazonicus","tropical","AM",0,"angiosperm",25.516666730245,1799.66666666667
"419","Batocarpus costaricensis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"420","Batocarpus orinocensis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"421","Bauhinia divaricata","tropical","AM",0,"angiosperm",26.0041666030884,745
"422","Bauhinia forficata","tropical","AM",0,"angiosperm",20.7583334445953,1303
"423","Bauhinia guianensis","tropical","AM",0,"angiosperm",26.3937500317891,1964.66666666667
"424","Bauhinia holophylla","tropical","ECM",0,"angiosperm",19.8500000238419,1434
"425","Bauhinia petersiana","tropical","AM",0,"angiosperm",22.2131944927904,664.5
